harvest_measurement_id:r2,experiment_name,plot_name,plot_side,block,harvest_name,date,year,system_code,plant_part,crop,measurement_amount,measurement_name,measurement_unit
1,century,1_1,E,1,summer,1994-08-27,1994,LMT,red_fruit,solanum_lycopersicum,62.728,fresh_wt,tonnes/ha
2,century,1_1,W,1,summer,1994-08-27,1994,LMT,red_fruit,solanum_lycopersicum,60.032,fresh_wt,tonnes/ha
3,century,1_3,E,1,summer,1994-08-27,1994,CMT,red_fruit,solanum_lycopersicum,71.144,fresh_wt,tonnes/ha
4,century,1_3,W,1,summer,1994-08-27,1994,CMT,red_fruit,solanum_lycopersicum,70.396,fresh_wt,tonnes/ha
5,century,2_3,E,1,summer,1994-08-27,1994,OMT,red_fruit,solanum_lycopersicum,39.386,fresh_wt,tonnes/ha
6,century,2_3,W,1,summer,1994-08-27,1994,OMT,red_fruit,solanum_lycopersicum,41.528,fresh_wt,tonnes/ha
7,century,2_5,E,1,summer,1994-08-27,1994,CWT,red_fruit,solanum_lycopersicum,70.027,fresh_wt,tonnes/ha
8,century,2_5,W,1,summer,1994-08-27,1994,CWT,red_fruit,solanum_lycopersicum,70.17,fresh_wt,tonnes/ha
9,century,4_5,E,2,summer,1994-08-27,1994,CMT,red_fruit,solanum_lycopersicum,68.212,fresh_wt,tonnes/ha
10,century,4_5,W,2,summer,1994-08-27,1994,CMT,red_fruit,solanum_lycopersicum,64.87,fresh_wt,tonnes/ha
11,century,5_3,E,2,summer,1994-08-27,1994,CWT,red_fruit,solanum_lycopersicum,65.885,fresh_wt,tonnes/ha
12,century,5_3,W,2,summer,1994-08-27,1994,CWT,red_fruit,solanum_lycopersicum,67.423,fresh_wt,tonnes/ha
13,century,6_3,E,2,summer,1994-08-27,1994,LMT,red_fruit,solanum_lycopersicum,74.496,fresh_wt,tonnes/ha
14,century,6_3,W,2,summer,1994-08-27,1994,LMT,red_fruit,solanum_lycopersicum,77.469,fresh_wt,tonnes/ha
15,century,6_4,E,2,summer,1994-08-27,1994,OMT,red_fruit,solanum_lycopersicum,51.749,fresh_wt,tonnes/ha
